,id,object_name,chain,object_type,address,number,street,district
6177,89600,passion,нет,бар,"город Москва, Ленинский проспект, дом 109",12, Ленинский проспект,Обручевский район
6178,89666,шоколадница,да,кафе,"город Москва, Ленинский проспект, дом 109",30, Ленинский проспект,Обручевский район
6179,89670,кофе тун,да,кафе,"город Москва, Ленинский проспект, дом 109",20, Ленинский проспект,Обручевский район
6180,89672,барбарис,да,ресторан,"город Москва, Ленинский проспект, дом 109",25, Ленинский проспект,Обручевский район
6181,71289,yogurt frenzy,да,предприятие быстрого обслуживания,"город Москва, Ленинский проспект, дом 109",4, Ленинский проспект,Обручевский район
6182,71222,seasons,нет,ресторан,"город Москва, Ленинский проспект, дом 109",98, Ленинский проспект,Обручевский район
6183,71249,теремок,да,кафе,"город Москва, Ленинский проспект, дом 109",30, Ленинский проспект,Обручевский район
6184,71252,крошка картошка,да,кафе,"город Москва, Ленинский проспект, дом 109",40, Ленинский проспект,Обручевский район
6185,71258,ташир пицца,да,кафе,"город Москва, Ленинский проспект, дом 109",72, Ленинский проспект,Обручевский район
6186,125150,bocconcino,да,ресторан,"город Москва, Ленинский проспект, дом 109",68, Ленинский проспект,Обручевский район
6187,130067,макдоналдс,да,кафе,"город Москва, Ленинский проспект, дом 109",70, Ленинский проспект,Обручевский район
6189,155974,рэдимэйд групп,нет,кафе,"город Москва, Профсоюзная улица, дом 25А",40, Профсоюзная улица,район Черёмушки
6190,73356,менза,да,ресторан,"город Москва, Профсоюзная улица, дом 118",90, Профсоюзная улица,район Коньково
6191,73358,макдоналдс,да,кафе,"город Москва, Профсоюзная улица, дом 118",60, Профсоюзная улица,район Коньково
6244,27553,школьно-базовая столовая,нет,столовая,"город Москва, Варшавское шоссе, владение 250, строение 1",100, Варшавское шоссе,район Южное Бутово
6256,155093,фортуна,нет,кафетерий,"город Москва, Варшавское шоссе, дом 206",12, Варшавское шоссе,район Южное Бутово
6298,28171,столовая при нииаа им. семенихина,нет,столовая,"город Москва, Профсоюзная улица, дом 78, строение 1",150, Профсоюзная улица,Обручевский район
6302,73041,кондитерская,нет,магазин (отдел кулинарии),"город Москва, Профсоюзная улица, дом 64",24, Профсоюзная улица,Обручевский район
